id,title,company,city,remote,salary_from,salary_to,currency,salary_type,technologies,seniority,url,posted
python-engineer-acaisoft-Remote,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-remote-2,1777561636851
python-engineer-acaisoft-Warszawa,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-warszawa,1777561636851
python-engineer-acaisoft-lower-silesian,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-lower-silesian,1777561636851
python-engineer-acaisoft-kuyavian-pomeranian,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-kuyavian-pomeranian,1777561636851
python-engineer-acaisoft-lodz,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-lodz,1777561636851
python-engineer-acaisoft-lublin,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-lublin,1777561636851
python-engineer-acaisoft-lubusz,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-lubusz,1777561636851
python-engineer-acaisoft-lesser-poland,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-lesser-poland,1777561636851
python-engineer-acaisoft-opole,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-opole,1777561636851
python-engineer-acaisoft-subcarpathian,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-subcarpathian,1777561636851
python-engineer-acaisoft-podlaskie,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-podlaskie,1777561636851
python-engineer-acaisoft-pomeranian,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-pomeranian,1777561636851
python-engineer-acaisoft-silesian,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-silesian,1777561636851
python-engineer-acaisoft-holy-cross,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-holy-cross,1777561636851
python-engineer-acaisoft-warmian-masurian,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-warmian-masurian,1777561636851
python-engineer-acaisoft-greater-poland,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-greater-poland,1777561636851
python-engineer-acaisoft-west-pomeranian,Python Engineer,Acaisoft,Warszawa,True,16800.0,23520.0,PLN,b2b,Python,Mid,https://nofluffjobs.com/pl/job/python-engineer-acaisoft-west-pomeranian,1777561636851
senior-python-developer-mindbox-Kraków,Senior Python Developer,Mindbox Sp. z o.o.,Kraków,False,27300.0,33600.0,PLN,b2b,Python,Senior,https://nofluffjobs.com/pl/job/senior-python-developer-mindbox-krakow,1777556899903
senior-python-backend-engineer-verita-hr-Kraków,Senior Python Backend Engineer,Verita HR,Kraków,False,22000.0,32000.0,PLN,b2b,Python,Senior,https://nofluffjobs.com/pl/job/senior-python-backend-engineer-verita-hr-krakow,1779370349448
